date,item,price,class,zero_shot_category,semantic_category
2014-07-01,AQUAFINA,0.79,food,alcohol/entertainment,food
2014-07-01,AQUAFINA,0.79,food,alcohol/entertainment,food
2014-07-01,OXI CLEAN,3.99,home,other,clothing
2014-07-01,OXI CLEAN,3.99,home,other,clothing
2014-07-01,OXI CLEAN,3.99,home,other,clothing
2014-07-01,OXI CLEAN,3.99,home,other,clothing
2014-07-01,MFR COUPON,4.0,other,other,other
2014-07-01,MFR COUPON,4.0,other,other,other
2014-07-01,MFR COUPON,1.29,other,other,other
Unknown,KSWTR40PK,6.79,other,other,home/appliances
Unknown,HI BEVERAGE,2.4,food,alcohol/entertainment,alcohol/entertainment
Unknown,YOUTH SNORKE,29.99,entertainment/alcohol,other,alcohol/entertainment
Unknown,SNORKEL,36.99,entertainment/alcohol,food,transport
Unknown,HH TIARE 12,36.99,other,other,other
Unknown,ORANGE JUICE,6.99,food,food,food
Unknown,SNORKLE KIT,39.99,entertainment/alcohol,food,clothing
Unknown,GATORADE,15.69,food,food,alcohol/entertainment
Unknown,HI BEVERAGE,1.68,food,alcohol/entertainment,alcohol/entertainment
Unknown,ORG EDAMAME,13.79,food,other,other
Unknown,HURRICANE PC,15.49,applicances,transport,home/appliances
Unknown,WILDROOTS,10.59,food,other,other
Unknown,HONEY MACS,22.99,food,food,food
Unknown,SHRIMPCHEEKS,9.59,food,transport,food
Unknown,MUMS SEAWEED,10.79,food,food,food
Unknown,CHEESY SMILE,5.99,food,other,food
Unknown,TONKOTSU RAM,12.49,food,transport,food
Unknown,ORG BROWN RR,9.89,food,other,other
Unknown,LOBSTER RAV,14.89,food,transport,food
Unknown,KALUA PORK,20.99,food,food,food
Unknown,KS ORG EGGS,8.99,food,food,food
Unknown,KING HAWAII,6.29,food,other,food
Unknown,MUSSELS,10.99,food,transport,food
Unknown,DUMPLINGS,13.69,food,other,food
Unknown,RICE PORRDGE,12.99,food,food,food
Unknown,BOBA MOCHI,8.99,food,food,food
Unknown,AQUAPHOR ADV,18.49,home,transport,other
Unknown,AMORE TOV,9.99,home,transport,other
Unknown,2LB POI,11.49,food,transport,food
Unknown,CHICKNROLLER,13.91,food,food,food
Unknown,GREEN LEAF,7.99,food,other,food
Unknown,ASIANCKNSALD,12.99,food,other,other
Unknown,KAUAI COFFEE,22.99,food,food,food
Unknown,1.5 MOLOKAI,30.99,food,other,food
2015-11-08,CYT Meal,12.95,food,food,food
2015-11-08,Med Cheeseburger VM,5.9,food,food,food
2015-11-08,Hot Apple Pie,2.45,food,food,food
2020-07-07,GON RELOAD,3.74,other,transport,other
2020-07-07,AMOUNT,100.0,other,other,food
2011-10-10,BLACK-WIDOW ULTIMATE KEYBOARD,129.99,applicances,other,other
2025-08-27,1/4 CHEESE EVM,1.95,food,food,food
2025-08-27,LARGE FRY,3.18,food,food,food
2025-08-27,LARGE CHOCOLATE SHK,5.69,food,food,food
2013-10-14,TT-1P OR WING,5.0,food,transport,clothing
2018-05-24,TH - ICED COFFEE,2.24,food,food,food
2018-05-24,TH - DONUT,0.99,food,food,food
2023-01-07,Vt Icd Americano,3.95,food,other,other
2023-01-07,Vt Carml Frapp,5.95,food,food,transport
2020-07-27,PHILIPS,17.0,applicances,other,home/appliances
2020-07-27,"Samsung 65""",499.99,applicances,other,home/appliances
2020-07-27,SQUARETRADE,75.0,other,food,transport
Unknown,AMNO,34.97,other,other,other
2014-07-01,AQUAFINA,0.79,food,alcohol/entertainment,food
2014-07-01,AQUAFINA,0.79,food,alcohol/entertainment,food
2014-07-01,OXI CLEAN,3.99,home,other,clothing
2014-07-01,OXI CLEAN,3.99,home,other,clothing
2014-07-01,OXI CLEAN,3.99,home,other,clothing
2014-07-01,OXI CLEAN,3.99,home,other,clothing
2014-07-01,MFR COUPON,4.0,other,other,other
2014-07-01,MFR COUPON,4.0,other,other,other
2014-07-01,MFR COUPON,1.29,other,other,other
2008-10-20,BANANA EC,1.54,food,alcohol/entertainment,food
2008-10-20,HAIRCOLOR,7.94,home,other,clothing
2008-10-20,JACKASS NUM,4.0,other,other,clothing
2008-10-20,DONUTS,3.5,food,food,food
2017-12-29,NCF,4.48,other,other,other
2017-12-29,DRINKWARE,12.0,home,alcohol/entertainment,alcohol/entertainment
2019-02-01,EQ PINK GR,3.48,other,other,clothing
2011-10-10,BLACK-WIDOW ULTIMATE KEYBOARD,129.99,applicances,other,other
2021-10-25,PW 10IN FRY,10.76,other,food,food
2021-10-25,GV CRM CHKN,0.57,food,transport,other
2021-10-25,GV CRM CHKN,0.57,food,transport,other
2021-10-25,CRM MUSH 4PK,3.98,other,other,clothing
2021-10-25,GRT VALUE,1.97,other,transport,food
2021-10-25,FIXODENT,11.98,home,food,other
2021-10-25,HT SM UTILI,1.87,applicances,transport,clothing
2021-10-25,EQ LD 81MG,5.97,home,other,other
2021-10-25,CETIR10MG14,4.36,home,other,other
2014-07-29,COM 3PC SET,9.44,applicances,transport,clothing
2014-07-29,COM 3PK BDS,7.24,applicances,alcohol/entertainment,other
2014-07-29,COM BDS,7.24,applicances,other,other
2014-07-29,DR SMITHS,7.97,home,other,other
2014-07-29,COM 2PK HAIR,4.97,home,other,clothing
2014-07-29,BABY WIPES,1.97,home,other,clothing
2014-07-29,COM 4PK SOCK,4.97,clothing,clothing,clothing
2014-07-29,COM 4PK SOCK,4.97,clothing,clothing,clothing
2014-07-29,1P OPU G 0/3,2.0,other,other,other
2014-07-29,PAMPERS,24.94,home,food,food
2014-07-29,B BRNMSANML,1.48,other,other,other
2014-07-29,AW PATROL,6.97,other,transport,clothing
2021-10-16,GRILL COVER,14.97,applicances,alcohol/entertainment,clothing
2021-10-16,FIBER CHOICE,12.94,food,home/appliances,clothing
2021-10-16,CELERY HEART,2.48,food,other,food
2021-10-16,RED GRAPE,3.61,food,other,food
2019-08-29,CMR HALLOUMI BGR,5.99,food,home/appliances,other
2021-10-29,GV CKD HAM,6.82,food,clothing,clothing
2021-10-29,SMOKED BRATS,3.78,food,food,food
2021-10-29,BNLS CK BRST,11.75,food,clothing,other
2021-10-29,GVSHRFMOZ16,3.58,other,other,clothing
2021-10-29,TP SNOWCH,8.5,other,transport,other
