date,item,price,class
2022-12-08,GG RTE RICE,14.49,food
2022-10-19,SPARKLNG ICE,8.72,food
2023-07-06,SO DELICIOUS,14.27,food
2022-06-14,GOGO SQUEEZ MD,13.94,food
2022-08-31,FOLGERS,2.76,food
2022-07-02,GG CONDIMENT,10.18,food
2022-11-19,EGGS,36.12,food
2022-01-15,CAMPBELLS MD,27.64,food
2023-03-30,FRZ PZA PEPP,1.06,food
2023-07-31,gv chnk chkn,23.51,food
2022-02-15,PB ORG CRMY 500ML,1.68,food
2022-02-03,GV PARM 160Z,19.1,food
2023-05-28,FOLGERS,6.52,food
2023-10-01,BTR MLK BIS 2PK,38.16,food
2022-09-23,QUAKER CHEWY 2PK,44.01,food
2023-11-13,OLD EL PASO SM,19.14,food
2022-09-17,oreo mini,43.52,food
2022-01-31,12 pk coke,25.18,food
2023-09-04,FOLGERS,37.74,food
2022-07-24,GV PARM 160Z,36.21,food
2023-03-15,SPARKLNG ICE,8.3,food
2022-07-17,GGRTERICE,16.79,food
2022-12-25,FRZ PZA PEPP,15.84,food
2022-07-30,pb org crmy,11.77,food
2022-02-22,GG RTE RICE,39.45,food
2022-05-13,CAMPBELLS,42.03,food
2023-05-09,nestle,18.74,food
2022-06-18,GV CHNK CHKN,38.2,food
2022-03-12,GV PARM 160Z,20.88,food
2023-10-27,GG CONDIMENT,24.68,food
2022-11-06,BTR MLK BIS,37.11,food
2022-06-23,GOGO SQUEEZ,42.54,food
2022-07-09,12 PK COKE,39.78,food
2023-01-09,OREO MINI,3.71,food
2022-08-21,SPARKLNG ICE,33.86,food
2023-06-11,GV CHNK CHKN,44.43,food
2022-03-13,PB ORG CRMY,15.64,food
2023-08-06,eggs 500ml,28.04,food
2022-02-22,SC TWIST UP,1.49,food
2022-12-06,SPARKLNG ICE,2.65,food
2022-02-05,PBORGCRMY,6.1,food
2022-07-24,SC TWIST UP,24.81,food
2022-03-27,OREO MINI,25.99,food
2022-02-17,EGGS,12.32,food
2023-05-01,CAMPBELLS,23.12,food
2022-08-26,EGGS,5.01,food
2023-09-17,GV CHNK CHKN,1.17,food
2023-11-12,GG CONDIMENT,24.45,food
2023-08-04,GOGO SQUEEZ,18.36,food
2023-08-23,PB ORG CRMY,3.31,food
2023-03-18,SC TWIST UP SM,28.71,food
2023-08-21,GV CHNK CHKN SM,21.43,food
