date,item,price,class
Unknown,Peach,1.07,food
Unknown,Cheese,Unknown,food
Unknown,"Cheese ""Lion's Heart""",3.95,food
Unknown,Liver,1.07,food
Unknown,"Heart"".",1.07,food
Unknown,Cucumber,Unknown,food
Unknown,Cheese Lion's heart.,Unknown,food
Unknown,Milk,Unknown,food
Unknown,Chicken,2.19,food
2018-12-25,SPORT SHOES,1990,clothing
2023-02-05,Lorem ipsum dolor sit,30,other
2023-12-12,Lorem wheat,1.5,food
2023-12-12,Ipsum apple,3.75,food
2023-12-12,Dolor banana,7.3,food
2023-12-12,Sit meat,9.5,food
2023-12-12,Amet candy,0.8,food
2023-12-12,Consecteur coffe,1.2,food
2018-07-29,ONIONS RED JUMBO,1.57,food
2018-07-29,LETTUCE ROMAINE,0.88,food
2018-07-29,MUSHROOMS,Unknown,food
2018-07-29,Unknown,1.14,other
2018-07-29,MUSHROOMS PORTABELLA,3.36,food
2018-07-29,LONG GRAIN WHITE RIC,Unknown,food
2018-07-29,ORGANIC GALA APPLES W,2.07,food
2018-07-29,1 LB STRAWBERRY,2.97,food
2018-07-29,REUSABLE BAG SAL,0.3,food
2018-07-29,DARK CHOCOLATE PECAN,3.04,food
2018-07-29,SILK COCONUT MILK UN,3.99,food
2018-07-29,BARBARA'S JALAPENO C,3.19,food
2018-07-29,EL PATO MEXICAN HOT,1.19,food
2018-07-29,EMBASA CHIPOTLE PEPE W,2.49,food
2018-07-29,SPROUTS HATCH CHILE,1.59,food
2018-07-29,SIRLOIN TIP STEAK,6.69,food
2018-07-29,BANANAS YELLOW,2.3,food
,HP JET PRINTER,27327,home/appliances
Unknown,SOY SAUCE 2L,11.49,food
Unknown,TPD KIKK SOY SAUCE,2,food
Unknown,PORK SPARE RIBS,30.12,food
Unknown,TPD SPARE RIB,6,food
Unknown,QUKES,9.99,food
Unknown,DRAGON FRUIT 8 PK,34.99,food
Unknown,HLTH ATTK CRPY FRT,12.99,food
Unknown,POPCORNERS 24PK,20.99,food
Unknown,GLICO POCKY DUO,12.99,food
Unknown,DAWN DISH LIQ2.66L,15.99,home/appliances
Unknown,TPD-DAWN PLAT 2.66,3,home/appliances
Unknown,KS ORGANIC SEAWEED,14.99,food
Unknown,KARA-AGE CHICKEN,28.99,food
Unknown,CAULI BLOSSOM,6.99,food
Unknown,PURPLE BROCCOLINI,7.99,food
Unknown,DJ&A S/BERRY 100G,10.99,food
2018-09-10,T-Shirt,Unknown,clothing
2018-09-10,Pants,Unknown,clothing
2018-09-10,Adobe,Unknown,other
2011-11-06,BREAD,2.88,food
2011-11-06,GV PNT BUTTR,3.84,food
2011-11-06,GV PARM 160Z,4.98,food
2011-11-06,GV CHNK CHKN,1.98,food
2011-11-06,12 CT NITRIL,2.78,home/appliances
2011-11-06,FOLGERS,10.48,food
2011-11-06,SC TWIST UP,0.84,food
2011-11-06,EGGS,1.88,food
2022-11-07,BANANAS,Unknown,food
2022-01-09,Air Jordan 1 RepReceipt High OG,150,clothing
2001-12-18,Pack s/e 34*55 tempor #,Unknown,other
Unknown,DITALINI,1.38,food
Unknown,HAZL CREAMER,2.98,food
Unknown,GV BTTR QTRS,3.24,food
Unknown,POTATOES,1.64,food
Unknown,SWT POTATOES,0.63,food
Unknown,CILANTRO,Unknown,food
Unknown,CHO YOGURT,1,food
Unknown,VEG BASE BU,3.72,food
Unknown,MS TORTILLA,3.18,food
Unknown,TORTILLA,0.38,food
Unknown,PARSLEY CURL,0.98,food
Unknown,ZUCCHINI,1.15,food
2017-04-10,Cappuccino,3.5,food
2017-04-10,Apple Pie,3,food
2017-04-10,Brownies,3.5,food
2023-12-09,"ADI SAMBA OG (M) WHITE/, NO CO",3800,clothing
2018-01-01,Lorem,6.5,other
2018-01-01,Ipsum,7.5,other
2018-01-01,Dolor Sit,48,other
2018-01-01,Amet,9.3,other
2018-01-01,Consectetur,11.9,other
2018-01-01,Adipiscing Elit,1.2,other
2018-01-01,Sed Do,0.4,other
2020-07-27,PHILIPS,17,home/appliances
2020-07-27,"Samsung 65""",499.99,home/appliances
2020-07-27,SQUARETRADE,75,other
2020-01-11,2 MILK,1.79,food
2020-01-11,FREEZER BAGS,4.66,home/appliances
2020-01-11,OF REPLENISH,14.98,other
2020-01-11,HE SH SF HN,5.97,other
2020-01-11,NTG UG CM CL,8.22,other
2020-01-11,MAY MASCARA,6.78,home/appliances
2020-01-11,KING SIZE,1.48,home/appliances
2020-01-11,M MS HZLNT,2.98,food
2020-01-11,CANDY,1.88,food
2020-01-11,MUFFINS,2.48,food
2020-01-11,OS STL CRUI,6.97,other
2020-01-11,OS BDYWASH,4.97,home/appliances
2020-01-11,QTIPS SWABS,5.88,home/appliances
2020-01-11,CLG OW TP,7.96,other
2020-01-11,TOOTHPASTE,4.83,home/appliances
2020-01-11,SE FRESH 24,4.98,home/appliances
2020-01-11,VIVA SIG 6D,9.98,home/appliances
2020-01-11,RX -20 2IN1,2.97,home/appliances
2019-07-12,Sd SINH,399000,other
2016-05-12,Bottesa V.Bass (S),Unknown,food
2016-05-12,Bottega V. Acc/SLGs,465,clothing
Unknown,AQFNA WATER,1,food
Unknown,Class A Common Stock,Unknown,food
Unknown,Common Stock,Unknown,food
Unknown,Tank Top,6.31,clothing
2020-07-21,Canada Hyb Sutton Sn,850,clothing
2020-07-21,DSQ Icon OTH Show,200,clothing
2020-07-21,DSQ Tape Tee Sn00,165,clothing
2020-07-21,Moschino U Tape Swt,124,clothing
,365,409,other
2019-02-02,CARGO MAT,19.98,home/appliances
2019-02-02,MM CHICKEN,19.98,food
2019-02-02,FIRE EXTING,29.98,home/appliances
2019-02-02,SALMON PORT,25.98,food
2019-02-02,IWI OMEGA- 3,19.88,home/appliances
2019-02-02,ZIPLOC STOR,14.78,home/appliances
2019-02-02,CLEANVIEW R,99.98,home/appliances
2019-02-02,MM BLACK FL,19.98,other
Unknown,CF01N24D-SS,249,home/appliances
Unknown,WALLET,Unknown,clothing
Unknown,Adult,1440,other
Unknown,DOUBLE PLY,Unknown,home/appliances
2022-05-08,WOMENS SMLG 578765V3963 - 8924 - NOSIZ,Unknown,clothing
,K's sweat pants,149,clothing
,K's sweatshirt,149,clothing
,Shopping-bag,0.5,other
Unknown,PU-SADNES BOK 3 PS3,Unknown,entertainment/alcohol
Unknown,PU-BATMAN: AXHMS CITY PS3,Unknown,entertainment/alcohol
Unknown,"PO-NEED FOR SPEED: THE, AUN PS3",32.79,entertainment/alcohol
Unknown,PO-BATTLEFIELD 3 PS3,Unknown,entertainment/alcohol
2019-01-01,Green,Unknown,other
2019-01-01,Brown,Unknown,other
2019-01-01,Honey,Unknown,food
2019-01-01,Orange Juice,5,food
2019-01-01,White Potato,24.25,food
2019-01-01,Tomato,15,food
2019-01-01,AYellow,Unknown,other
2019-01-01,White Bread,9.25,food
2019-01-01,Purple Tomato,24.25,food
2019-01-01,Fish,Unknown,food
2019-01-01,Sweet Cake,Unknown,food
2019-01-01,Green Apples,5.3,food
2019-01-01,Brown Bread,9.25,food
Unknown,ONE PIECE 0/5=UT,Unknown,clothing
Unknown,ONE PIECE W/DEUT,Unknown,clothing
Unknown,ONE PIECE 0/DEUT,Unknown,clothing
Unknown,ONE PIECE W/D=UT,Unknown,clothing
2020-04-05,AD-SS SLIM STRP PATC,139,clothing
2014-07-29,COM 3PC SET,9.44,home/appliances
2014-07-29,COM 3PK BDS,7.24,home/appliances
2014-07-29,COM BDS,7.24,home/appliances
2014-07-29,DR SMITHS,7.97,home/appliances
2014-07-29,COM 2PK HAIR,4.97,home/appliances
2014-07-29,BABY WIPES,1.97,home/appliances
2014-07-29,COM 4PK SOCK,4.97,clothing
2014-07-29,1P OPU G 0/3,2,other
2014-07-29,PAMPERS,24.94,home/appliances
2014-07-29,B BRNMSANML,1.48,other
2014-07-29,AW PATROL,6.97,entertainment/alcohol
2015-05-11,02/00 ADI YEEZY BOOST BR,50,clothing
2021-02-05,SS ELEVATE FLOATING VANIT,249,home/appliances
2023-11-30,APPLE WATCH 42MM 55 BLACK SPORT-,Unknown,clothing
2020-05-12,Vel tortor,155,other
2020-05-12,Duk,4.7,clothing
2020-05-12,Molls elt,23.65,other
2020-05-12,Nanc len,14.4,other
2020-05-12,Fringilla,3.9,other
2020-05-12,Fasce,Unknown,clothing
2018-08-31,MENS RTW 43936829687 - 1000 - 50,305,clothing
2019-11-10,210 MENS SHOES 19/M7G 426188KQWMO - 1948 - M7G,-349,clothing
2019-11-10,130 MENS SMLG 20/ /0 P 150402BMJIN - 2044 - NA,79,clothing
2019-11-10,210 MENS SHOES 86/M7G 407362K6D20 - 8680 - M7G,279,clothing
2018-07-29,ORGANIC GALA APPLES,2.07,food
2018-07-29,1 LB STRAWBERRY W,2.97,food
Unknown,Cioss im woter,Unknown,food
Unknown,Moecenos fruits,1.55,food
Unknown,Closs Im,4.7,other
Unknown,Closs Im water,1.55,food
Unknown,Muerenos fruits,1.55,food
Unknown,Quis,814,other
Unknown,Maecenas fruits,6.25,food
Unknown,Vitae duls congue,0.89,other
Unknown,Cursus,Unknown,other
Unknown,Mois ellt,4.7,other
Unknown,Nunc leo,8.14,other
Unknown,Duls,Unknown,other
Unknown,Vitae duis conque,8.14,other
Unknown,Vitoe duls congue,23.65,other
Unknown,Consectetur diam,2.25,other
Unknown,Mollis elit,14.4,other
Unknown,Mollis ellt,Unknown,other
Unknown,Soplen 0. 25,5,other
Unknown,Fringillo,3.9,other
Unknown,Class Im water,Unknown,food
Unknown,Class im woter,Unknown,food
Unknown,Moecends fruits,Unknown,food
Unknown,Muecenos,6.25,other
2018-05-05,HASS AVOCADOS,2,food
2018-05-05,LIMES,2,food
2018-05-05,ROMA TOMATOES,0.48,food
