date,item,price
2014-07-01,AQUAFINA,0.79
2014-07-01,AQUAFINA,0.79
2014-07-01,OXI CLEAN,3.99
2014-07-01,OXI CLEAN,3.99
2014-07-01,OXI CLEAN,3.99
2014-07-01,OXI CLEAN,3.99
2014-07-01,MFR COUPON,4
2014-07-01,MFR COUPON,4
2014-07-01,MFR COUPON,1.29
Unknown,KSWTR40PK,6.79
Unknown,HI BEVERAGE,2.4
Unknown,YOUTH SNORKE,29.99
Unknown,SNORKEL,36.99
Unknown,HH TIARE 12,36.99
Unknown,ORANGE JUICE,6.99
Unknown,SNORKLE KIT,39.99
Unknown,GATORADE,15.69
Unknown,HI BEVERAGE,1.68
Unknown,ORG EDAMAME,13.79
Unknown,HURRICANE PC,15.49
Unknown,WILDROOTS,10.59
Unknown,HONEY MACS,22.99
Unknown,SHRIMPCHEEKS,9.59
Unknown,MUMS SEAWEED,10.79
Unknown,CHEESY SMILE,5.99
Unknown,TONKOTSU RAM,12.49
Unknown,ORG BROWN RR,9.89
Unknown,LOBSTER RAV,14.89
Unknown,KALUA PORK,20.99
Unknown,KS ORG EGGS,8.99
Unknown,KING HAWAII,6.29
Unknown,MUSSELS,10.99
Unknown,DUMPLINGS,13.69
Unknown,RICE PORRDGE,12.99
Unknown,BOBA MOCHI,8.99
Unknown,AQUAPHOR ADV,18.49
Unknown,AMORE TOV,9.99
Unknown,2LB POI,11.49
Unknown,CHICKNROLLER,13.91
Unknown,GREEN LEAF,7.99
Unknown,ASIANCKNSALD,12.99
Unknown,KAUAI COFFEE,22.99
Unknown,1.5 MOLOKAI,30.99
2015-11-08,CYT Meal,12.95
2015-11-08,Med Cheeseburger VM,5.9
2015-11-08,Hot Apple Pie,2.45
2020-07-07,GON RELOAD,3.74
2020-07-07,AMOUNT,100
2011-10-10,BLACK-WIDOW ULTIMATE KEYBOARD,129.99
2025-08-27,1/4 CHEESE EVM,1.95
2025-08-27,LARGE FRY,3.18
2025-08-27,LARGE CHOCOLATE SHK,5.69
2013-10-14,TT-1P OR WING,5
2018-05-24,TH - ICED COFFEE,2.24
2018-05-24,TH - DONUT,0.99
2023-01-07,Vt Icd Americano,3.95
2023-01-07,Vt Carml Frapp,5.95
2020-07-27,PHILIPS,17
2020-07-27,"Samsung 65""",499.99
2020-07-27,SQUARETRADE,75
Unknown,AMNO,34.97
2014-07-01,AQUAFINA,0.79
2014-07-01,AQUAFINA,0.79
2014-07-01,OXI CLEAN,3.99
2014-07-01,OXI CLEAN,3.99
2014-07-01,OXI CLEAN,3.99
2014-07-01,OXI CLEAN,3.99
2014-07-01,MFR COUPON,4
2014-07-01,MFR COUPON,4
2014-07-01,MFR COUPON,1.29
2008-10-20,BANANA EC,1.54
2008-10-20,HAIRCOLOR,7.94
2008-10-20,JACKASS NUM,4
2008-10-20,DONUTS,3.5
2017-12-29,NCF,4.48
2017-12-29,DRINKWARE,12
2019-02-01,EQ PINK GR,3.48
2011-10-10,BLACK-WIDOW ULTIMATE KEYBOARD,129.99
2021-10-25,PW 10IN FRY,10.76
2021-10-25,GV CRM CHKN,0.57
2021-10-25,GV CRM CHKN,0.57
2021-10-25,CRM MUSH 4PK,3.98
2021-10-25,GRT VALUE,1.97
2021-10-25,FIXODENT,11.98
2021-10-25,HT SM UTILI,1.87
2021-10-25,EQ LD 81MG,5.97
2021-10-25,CETIR10MG14,4.36
2014-07-29,COM 3PC SET,9.44
2014-07-29,COM 3PK BDS,7.24
2014-07-29,COM BDS,7.24
2014-07-29,DR SMITHS,7.97
2014-07-29,COM 2PK HAIR,4.97
2014-07-29,BABY WIPES,1.97
2014-07-29,COM 4PK SOCK,4.97
2014-07-29,COM 4PK SOCK,4.97
2014-07-29,1P OPU G 0/3,2
2014-07-29,PAMPERS,24.94
2014-07-29,B BRNMSANML,1.48
2014-07-29,AW PATROL,6.97
2021-10-16,GRILL COVER,14.97
2021-10-16,FIBER CHOICE,12.94
2021-10-16,CELERY HEART,2.48
2021-10-16,RED GRAPE,3.61
2019-08-29,CMR HALLOUMI BGR,5.99
2021-10-29,GV CKD HAM,6.82
2021-10-29,SMOKED BRATS,3.78
2021-10-29,BNLS CK BRST,11.75
2021-10-29,GVSHRFMOZ16,3.58
2021-10-29,TP SNOWCH,8.5
2021-10-29,RL CHOR BISC,4.98
2021-10-29,THIN MULTI,5.18
2021-10-29,GV WHOLE,3.24
2021-10-29,GV HD BUNS,0.88
2021-10-29,GV HAMB BUNS,0.88
2021-10-29,BELL PEPPER,0.83
2021-10-29,CHKN STUFFNG,1.98
2021-10-29,SPEC K CINN,3.33
2021-10-29,PREMIUM,2.88
2021-10-29,MOM CEREAL,3.88
2021-10-29,GREAT VALUE,2.84
2021-10-29,GREAT VALUE,2.84
2021-10-29,GREAT VALUE,2.84
2021-10-29,DISINFECTANT,2.67
2021-10-29,DISINFECTANT,2.67
2021-10-29,HEINZ GRAVY,1.98
2021-10-29,GV CKN GRAV,0.86
2021-10-29,COLA 12PK,3.14
2021-10-29,COLA 12PK,3.14
2021-10-29,DR THUNDER,3.14
2021-10-29,DR THUNDER,3.14
2001-06-20,MAXELL T120,1.79
2001-06-20,SONY T160,2.59
2001-06-20,ESQUIRE,2.7
2001-06-20,ROLLERBALL,3.99
2001-06-20,SNICKERS,0.44
2001-06-20,SNICKERS,0.44
2001-06-20,STEERING WC,7.99
2001-06-20,UTILITY MAT,3.99
2001-06-20,UTILITY MAT,3.99
2001-06-20,UTILITY MAT,3.99
2014-10-02,TFLGL34CTM3,69.99
2014-10-02,MY BEST BUY,0
2012-07-30,Grande Meal,9.9
2012-07-30,Sft Tac Party Pk,10
2012-07-30,Grande Meal,9.9
2012-07-30,Taco Party Pack,10
2012-07-30,Med Drink,43.94
2012-07-30,Supreme Pizza,11.97
2012-07-30,Pepperoni Pizza,11.07
2012-07-30,Cheese Pizza,10.47
2015-12-28,VITACOCO,2.59
2008-04-23,SUBMELT fr,
,HP JET PRINTER,27327
2011-11-06,BREAD,2.88
2011-11-06,BREAD,2.88
2011-11-06,GV PNT BUTTR,3.84
2011-11-06,GV PNT BUTTR,3.84
2011-11-06,GV PNT BUTTR,3.84
2011-11-06,GV PNT BUTTR,3.84
2011-11-06,GV PARM 160Z,4.98
2011-11-06,GV CHNK CHKN,1.98
2011-11-06,GV CHNK CHKN,1.98
2011-11-06,12 CT NITRIL,2.78
2011-11-06,FOLGERS,10.48
2011-11-06,SC TWIST UP,0.84
2011-11-06,EGGS,1.88
,Large Irn Bru,1.18
,Gov Bag Charge,0.1
2018-11-11,STB ALL PIN,0.78
2018-11-11,CABLE POUCH,3.5
2018-11-11,TRVL PILLOW,9.97
2020-07-07,GON RELOAD,3.74
2020-07-07,AMOUNT,100
2023-02-04,MIGHTY 4 ONE,9.99
