date,item,price,class
Unknown,Large Eggs,6.17,food
Unknown,Milk,1.8,food
Unknown,Natural Yogurt,1.2,food
Unknown,Cottage Cheese,1.64,food
Unknown,Cherry Tomatoes 11b,3.82,food
Unknown,Bananas 11b,0.68,food
Unknown,Aubergine,2.15,food
Unknown,Cheese Crackers,2.44,food
Unknown,Chocolate Cookies,2.29,food
Unknown,Canned Tuna 12pk,11.98,food
Unknown,Chicken Breast,6.79,food
Unknown,Toilet Paper,8.84,home/appliances
Unknown,Baby Wipes,2.99,home/appliances
2017-04-10,Cappuccino,3.5,food
2017-04-10,Apple Pie,3,food
2017-04-10,Brownies,3.5,food
2023-02-20,Unknown,9.79,other
2023-02-20,3PC Combo,Unknown,food
2023-02-20,COKE LG 1130,75,food
2022-07-01,BANANA ORGNU,30,food
2022-07-01,CLEMENTINES,5.49,food
2022-07-01,DRIS STRWBRY,2.88,food
2022-07-01,KRO BREAD,1.59,food
2022-07-01,THOMAS BAGELS,4.79,food
2019-05-16,Tenders Combo,6.79,food
2019-05-16,Md WldChyPep,Unknown,food
2019-05-16,Side Only,3.99,food
2011-11-06,BREAD,2.88,food
2011-11-06,GV PNT BUTTR,3.84,food
2011-11-06,GV PARM 160Z,4.98,food
2011-11-06,GV CHNK CHKN,1.98,food
2011-11-06,12 CT NITRIL,2.78,home/appliances
2011-11-06,FOLGERS,10.48,food
2011-11-06,SC TWIST UP,0.84,food
2011-11-06,EGGS,1.88,food
2019-09-19,gProtein Salad,9.99,food
2019-09-19,legrino,2.49,food
2019-09-19,Mrkt Plce Port,Unknown,entertainment/alcohol
2019-09-19,Truffle MacN Chs,1.16,food
2019-09-19,LEM Lemonade,13.41,food
2016-03-06,UPUP HOUSEH,1.94,other
2016-03-06,OREO COOKIE,5.98,food
2016-03-06,NATVAL ENER,5.89,food
2016-03-06,MOTTS FRTSN,1.5,food
2016-03-06,Cartwheel MfrCpn,0.5,home/appliances
2016-03-06,V8,4.19,food
2016-03-06,OSCAR MAYER,2.5,food
2016-03-06,NAKED,2.5,other
2016-03-06,TOMATO,0.99,food
2016-03-06,LETTUCE,1.49,food
2016-03-06,KC MASTERPC,3.39,food
2016-03-06,MARKET PANT,3.29,clothing
2016-03-06,BC SDNLY SL,1.72,other
2016-03-06,PEPPERIDGE,2.99,food
2016-03-06,SMUCKERS,2.09,food
2016-03-06,JENNIE-0,2.99,food
2016-03-06,LEAN CUISIN,2.45,food
2016-03-06,EVOL,5.59,other
2016-03-06,BIRD SUBB H,4.09,food
2016-03-06,MP EGGS,1.89,food
2016-03-06,REDDI WIP,3.72,food
2016-03-06,MP H AND H,1.41,food
2016-03-06,CHOBANI,1,food
2016-03-06,BREYERS,3.49,food
2016-03-06,AQUAF 2PK,4.89,food
2016-03-06,SONICARE,21.99,home/appliances
2016-03-06,BISSELL,129.99,home/appliances
2010-10-02,SMALL,4.29,other
2010-10-02,22 OZ FOUNTAIN,1.59,food
2016-12-12,BB,7.49,other
2016-12-12,LTL FRY,2.89,food
2017-10-29,BC,7.59,other
2015-01-05,ME TANK TOP,5,clothing
2015-01-05,ME TEE SHIR,7,clothing
2015-01-05,MSC TANK TO,6,clothing
2015-01-05,MB PULLOVER,9.98,clothing
Unknown,KAGI,10.99,food
Unknown,BRIOCHE,4.69,food
2016-08-01,NFC 00 in Carafe,2.09,home/appliances
2016-08-01,Lemons,3.49,food
2016-08-01,Limes,1.29,food
2016-08-01,Iodized Table Salt,0.45,food
2016-08-01,Pure Maple Syrup,6.49,food
2020-10-03,HYV LARGE EGGS,1.48,food
2020-10-03,CHEEZ-IT SNAP'D DBL,3.28,food
2020-10-03,GRIMES CHILI BEANS,1.29,food
2020-10-03,HYV PRETZEL STICKS,2.5,food
2020-10-03,MISSION CARB BAL SOF,1.25,food
2020-10-03,STARKIST CHUNK LT TU,1.24,food
2020-10-03,OEP FF REFRID BEANS,1.89,food
2020-10-03,TOSTITOS CON QUESO,3.99,food
2020-10-03,TRISCUIT REDUCED FAT,1.98,food
2020-10-03,WELCHS 100% WHITE GR,4.99,food
2020-10-03,NTRGNA MAKE UP WIPE,11.99,home/appliances
2020-10-03,TYLENOL 8HR ARTHRITI,4.99,home/appliances
2020-10-03,PELLEGRINO SPRKLNG,4.98,food
2020-10-03,B EVANS MASHED POTAT,4.99,food
2020-10-03,BF CHCK BNLS POT ROA,19.17,food
2020-10-03,KRAFT FINE MEX 4 CHS,2.98,food
2020-10-03,SMART CKN BNLS SKNLS,7.99,food
2020-10-03,DOLE CELERY,1.49,food
2018-04-25,MSC BALLET F,16.99,food
2018-04-25,#NAME?,53.99,home/appliances
2018-04-25,O SHEET SET,41.39,home/appliances
Unknown,Ice,Unknown,food
Unknown,Cucumber,0.15,food
Unknown,Mint,2.25,food
Unknown,Sugar,1.5,food
Unknown,Melon,3.5,food
Unknown,Cherry,1.4,food
Unknown,Package,0.35,other
2018-01-17,IPHONE X SPACE,1149,home/appliances
2022-12-24,WINCO MULTIGRN,1.91,food
2022-12-24,WNCO MLK WH GL,2.66,food
2022-12-24,WINCO CTTGE CHS,7.08,food
Unknown,Celebration Cheesecake,8.95,food
Unknown,Chocolate Hazelnut Crunch,8.5,food
Unknown,#1 Pepe,5.79,food
Unknown,Med Fountain,1.79,food
2022-01-04,CNDL 200Z HOLIDAY,6,food
2022-01-04,ST TREND STYLE PH,5.98,clothing
2022-01-04,GA LINSEED REFINE,12.79,food
Unknown,ITEM 1,1,other
Unknown,ITEM 2,1,other
Unknown,ITEM 3,1,other
Unknown,ITEM 4,1,other
Unknown,ITEM 5,1,other
Unknown,ITEM 6,1,other
Unknown,ITEM 7,1,other
Unknown,ITEM 8,1,other
Unknown,ITEM 9,1,other
Unknown,ITEM 10,1,other
2018-05-05,HASS AVOCADOS,2,food
2018-05-05,ROMA TOMATOES,0.48,food
2013-06-15,31PC SHK KIT <A>,10.97,home/appliances
2013-06-15,DYNAWHT5.5 <A>,3.98,home/appliances
2013-06-15,5GL LID <A>,1.28,home/appliances
2013-06-15,BT25/30PK <A>,6.99,home/appliances
2013-06-15,1GPH MAN <A>,3.98,home/appliances
2013-06-15,HOMER BUCKET <A>,2.6,home/appliances
2013-06-15,RISER EXTNDR <A>,0.67,home/appliances
Unknown,LUMBERJACK SLAM,10.89,home/appliances
Unknown,LG JUICE,2.89,food
Unknown,COFFEE,2.09,food
Unknown,CFS & EGGS,10.89,food
2023-12-04,OLIVGAR$50,,food
2021-10-25,PW 10IN FRY,10.76,food
2021-10-25,GV CRM CHKN,0.57,food
2021-10-25,CRM MUSH 4PK,3.98,food
2021-10-25,GRT VALUE,1.97,other
2021-10-25,FIXODENT,11.98,home/appliances
2021-10-25,HT SM UTILI,1.87,home/appliances
2021-10-25,EQ LD 81MG,5.97,other
2021-10-25,CETIR10MG14,4.36,other
Unknown,BLOOMIN' ONION,9,food
Unknown,OUTBACK SIRLOIN,16,food
Unknown,OUTBACKER BURGER,10,food
Unknown,CAESAR SALAD,5,food
2024-02-21,Bacon Cheeseburger,11.79,food
2024-02-21,Little Fry,5.19,food
2024-02-21,Regular Soda,2.99,food
2022-02-25,KIDS MEAL,3.89,food
2022-02-25,Kids Cheeseburger,Unknown,food
2022-02-25,Kids Toy,Unknown,entertainment/alcohol
2022-02-25,10 Piece Nuggets,3.99,food
2022-02-25,Medium Fries,4.58,food
2022-02-25,MEDIUM COMBO,10.18,food
2022-02-25,Jr Cheeseburger,0.99,food
2016-11-07,SM BF&CHOR CLSC,6.99,food
2021-10-29,GV CKD HAM,6.82,food
2021-10-29,SMOKED BRATS,3.78,food
2021-10-29,BNLS CK BRST,11.75,food
2021-10-29,GVSHRFMOZ16,3.58,other
2021-10-29,TP SNOWCH,8.5,home/appliances
2021-10-29,RL CHOR BISC,4.98,food
2021-10-29,THIN MULTI,5.18,food
2021-10-29,GV WHOLE,3.24,food
2021-10-29,GV HD BUNS,0.88,food
2021-10-29,GV HAMB BUNS,0.88,food
2021-10-29,BELL PEPPER,0.83,food
2021-10-29,CHKN STUFFNG,1.98,food
2021-10-29,SPEC K CINN,3.33,food
2021-10-29,PREMIUM,2.88,other
2021-10-29,MOM CEREAL,3.88,food
2021-10-29,GREAT VALUE,2.84,other
2021-10-29,DISINFECTANT,2.67,home/appliances
2021-10-29,HEINZ GRAVY,1.98,food
2021-10-29,GV CKN GRAV,0.86,food
2021-10-29,COLA 12PK,3.14,food
2021-10-29,DR THUNDER,3.14,food
2013-10-14,TT-1P OR WING,5,food
2020-02-21,ONE EGG & BAC,4.99,food
2020-02-21,KID VEG PLATE,4.69,food
2020-02-21,K PCAKE (1) MAPL,3.99,food
2021-10-18,GV .5L WATER,4.38,food
2021-10-18,CUIS BASKET,17.88,home/appliances
2021-10-18,WOOD PELLETS,6.97,other
2021-10-18,PAN SOBAO,1.98,food
2021-10-18,FRENCH BREAD,1,food
2021-10-18,SPREADS,2.42,food
2021-10-18,SOUR CREAM,1.37,food
2021-10-18,BROWNTE,1,food
2021-10-18,CHOCOLATE S,0.5,food
2021-10-18,BUFF WING SC,2.48,food
2021-10-18,BWW PARMGRLC,3.18,food
2021-10-18,GV MILD WIN,1.98,food
2021-10-18,RANCHO RTD,8.98,food
2021-10-18,SV SUPER B,7.88,home/appliances
2021-10-18,YODA HAND S,2.96,home/appliances
2021-10-18,FISHING LURE,2.23,entertainment/alcohol
2021-10-18,JEGGING,12.88,clothing
2017-01-02,ICED TEA UNSWEET,2.39,food
2017-01-02,FF TROUT LEM GR,10.29,food
2017-01-02,ICED TEA SWEET,2.39,food
,Large Irn Bru,1.18,food
,Gov Bag Charge,0.1,other
2021-09-23,BOUNTY SAS,18.98,home/appliances
2021-09-23,ICED BROWNIF,4.98,food
2021-09-23,MM HALF HALF,4.98,food
2021-09-23,NV WAFER F,10.46,food
2021-09-23,KODIAKPWRCKF,11.88,food
2021-09-23,AVOCADO,5.12,food
2021-09-23,15 GRAIN,4.74,food
2021-09-23,KODIAKPWRCK,3.5,food
2012-01-26,N/P 100 WH WHT,2.48,food
2012-01-26,F/E 50/50 MIX,1.78,food
2012-01-26,C/P S C ON CHP,1.88,food
2012-01-26,THOMAS MINI BAG,4.1,food
2012-01-26,RESER FLOUR TO,1.68,food
2012-01-26,HY-TOP 1% MILK,1.88,food
2012-01-26,TWIX CARAMEL SN,0.68,food
2012-01-26,TOBLERONE MILK,2.07,food
2012-01-26,CANDY,0.68,food
2012-01-26,SNICKERS PB SOR,0.68,food
2012-01-26,"APPLES, RED DEL LG",1.82,food
2012-01-26,BANANAS,Unknown,food
2012-01-26,"CARROTS,PETITE",1.48,food
2012-01-26,TAI-PEI OR/CHIX,3.98,food
2012-01-26,HY-TOP CRM CHS,1.61,food
2012-01-26,R/B STNE HEARTH,3.38,home/appliances
2012-01-26,H/T ALUM FOIL,6.1,home/appliances
2012-01-26,PPS CUBB CROUTN,2.48,food
2023-05-08,Mommas French Toast,11.19,food
2023-05-08,Bacon (2),3.09,food
2007-08-19,SINGAPORE SLING,17.98,entertainment/alcohol
2007-08-19,BLOOM,15.99,food
2007-08-19,GR SHRIMP,16.99,food
2007-08-19,FILET 8 OZ,48.99,food
2007-08-19,KID CHEZ BURG,12.99,food
2007-08-19,KID SUNDAE,9.98,food
2007-08-19,BUD,11.98,entertainment/alcohol
2021-02-05,SS ELEVATE FLOATING VANIT,249,home/appliances
2017-05-06,BAJA RT.VEGF,7.98,food
2017-05-06,DCFLOUNDER,11.88,food
2017-05-06,TRIPLE BERRF,7.58,food
2017-05-06,DEERPARK WTF,4.98,food
2017-05-06,CHOC CHIPS,9.98,food
2017-05-06,RESTBLKPEPPF,4.98,food
2017-05-06,BAI VARIETYF,19.98,food
2017-05-06,BROC FLORETI,5.98,food
2017-05-06,TORTELLINI,8.98,food
2017-05-06,B/S BREAST,14.02,food
2017-05-06,DUBLINERIYHF,11.3,other
2017-05-06,RTC B/S CKM:,11.98,other
2017-05-06,LAMB,,food
2017-05-06,GREEK YOGURT,4.98,food
2017-05-06,HEINZ 2-4405,7.48,food
2017-05-06,PORK LOIN,7.48,food
2017-05-06,BAKING SODAF,6.98,home/appliances
2017-05-06,NB FIG BAR F,7.88,food
2023-11-30,APPLE WATCH 42MM 55 BLACK SPORT-,Unknown,home/appliances
2023-11-30,USA,Unknown,other
2023-10-10,BLUE HAWAIIN SIG,7.75,entertainment/alcohol
2023-10-10,BONELESS,8.99,food
2025-11-17,Whopper- Bacon & Cheese Meal,15.18,food
2017-07-25,CHSYBACBREAD,2.31,food
2017-07-25,CHSY BREADST,2.11,food
2017-07-25,POTATO WEDGE,3.34,food
2017-07-25,COOKIES,2.98,food
2017-07-25,BBQ CHUNKS,6.76,food
2017-07-25,COLE SLAW,2.17,food
2017-07-25,DONUT HOLES,2.98,food
2017-07-25,RUCK SACK,3.72,home/appliances
2017-07-25,SINGLE ROLL,1.98,food
2017-07-25,NOTEBOOK,1.97,home/appliances
2006-11-16,LATTE-VENTI,2.49,food
2006-11-16,"PANINI, TUNA MELT",3.85,food
2017-12-24,Hamburger,2.3,food
2017-12-24,Lg Soft Drink,1.8,food
2023-12-12,Lorem wheat,1.5,food
2023-12-12,Ipsum apple,3.75,food
2023-12-12,Dolor banana,7.3,food
2023-12-12,Sit meat,9.5,food
2023-12-12,Amet candy,0.8,food
2023-12-12,Consecteur coffe,1.2,food
Unknown,3PC TENDER COMBO,8.29,food
2011-11-28,MEIJER EGGS,3.58,food
2011-11-28,CEREAL,3.29,food
2011-11-28,MEIJER FF MILK,5,food
2011-11-28,WELCHS JUICE,3,food
2019-09-02,LEMON GROCERY CHOBANI,4.99,food
2019-09-02,CANTALOUPE,Unknown,food
2019-09-02,CHANNA MASALA,Unknown,food
2019-09-02,DRAGON FRUIT,2.95,food
2019-09-02,PALAK PANEER,2.29,food
2019-09-02,POTATO SWEET EACH,2.99,food
Unknown,DOUBLE LOBSTER TAILS,3999,food
Unknown,TEMPURA,Unknown,food
Unknown,CANADIAN SNOW CRAB LEGS,25.99,food
Unknown,CRISPY THAI,13.99,food
Unknown,NASHVILLE,Unknown,other
Unknown,WALT'S FAVOURITE,16.49,food
2019-07-12,LG FLATSCREEN 65,899.99,home/appliances
2019-07-12,SONY VIAO I7 6938,689.99,home/appliances
2019-07-12,6FT HDMI CABLE BB,19.99,home/appliances
2019-07-12,APPLE TV V4,89.99,home/appliances
2018-04-13,Colorado,10.49,other
2018-04-13,NYDSZ Pan,1.79,home/appliances
2018-04-13,810 Staak,10.49,food
2018-04-13,REAL EDOS,0,food
2017-12-09,KISSES,1,food
2017-12-09,BUTTERFINGER,9,food
2017-12-09,FOOD COLOR,2.99,food
2017-12-09,UP UP,3.59,other
2017-12-09,CONAIR HEADB,3.99,home/appliances
2017-12-09,CONAIR CLIPS,4.79,home/appliances
2017-12-09,CHAPSTICK 2,1.98,home/appliances
2007-02-27,Australian Surfers,14.69,other
2007-02-27,Paradise White Wine,Unknown,entertainment/alcohol
2007-02-27,Chicken Risotto,8.81,food
2007-02-27,Roast Lamb,8.81,food
2014-07-29,COM 3PC SET,9.44,home/appliances
2014-07-29,COM 3PK BDS,7.24,home/appliances
2014-07-29,COM BDS,7.24,home/appliances
2014-07-29,DR SMITHS,7.97,home/appliances
2014-07-29,COM 2PK HAIR,4.97,home/appliances
2014-07-29,COM 4PK SOCK,4.97,home/appliances
2014-07-29,1P OPU G 0/3,2,other
2014-07-29,PAMPERS,24.94,home/appliances
2014-07-29,B BRNMSANML,1.48,other
2014-07-29,AW PATROL,6.97,entertainment/alcohol
